COD Municipio;Cidade;COD UF;UF;Total de escolas federais;Total de escolas estaduais;Total de escolas municipais;Total de escolas privadas;Total de escolas sem creche;Total de escolas com creche;Escolas que não funcionam em prédio escolar;Escolas que funcionam em prédio escolar;Total de escolas que não funcionam em unidade de atendimento socio educativo;Total de escolas que funcionam em unidade de atendimento socio educativo;Total de escolas que não funcionam em unidade prisional;Total de escolas que funcionam em unidade prisional;Total de escolas que não funcionam em galpão / rancho / paiol / barracão;Total de escolas que funcionam em galpão / rancho / paiol / barracão;Total de escolas que não funcionam em salas de outra escola;Total de escolas que funcionam em salas de outra escola;Total de escolas que não funcionam em outros locais;Total de escolas que funcionam em outros locais;Total de escolas que não tem abastecimento de água da rede pública;Total de escolas que tem abastecimento de água da rede pública;Total de escolas que não não possuem abastecimento de água;Total de escolas que não possuem abastecimento de água;Total de escolas que não possuem energia elétrica da rede pública;Total de escolas que possuem energia elétrica da rede pública;Total de escolas que não não possuem energia elétrica;Total de escolas que não possuem energia elétrica;Total de matrículas;Total de docentes;Total de docentes em Creche;Total de docentes em Pré-escola;Total de docentes em 1ª Série;Total de docentes em 2ª Série;Total de docentes em 3ª Série;Total de docentes em 4ª Série;Total de docentes em 5ª Série;Total de docentes em 6ª Série;Total de docentes em 7ª Série;Total de docentes em 8ª Série;Total de docentes em 1º Ano;Total de docentes em 2º Ano;Total de docentes em 3º Ano;Total de docentes em 4º Ano;Total de docentes em 5º Ano;Total de docentes em 6º Ano;Total de docentes em 7º Ano;Total de docentes em 8º Ano;Total de docentes em 9º Ano;Total de docentes em 1º ano/1ª Série;Total de docentes em 2º ano/2ª Série;Total de docentes em 3ºano/3ª Série;Total de docentes em 4º ano/4ª Série;Total de docentes em Nao Seriada;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 1ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 2ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 3ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 4ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) Nao Seriada;Total de docentes em Modalidade Normal/Magistério 1ª Série;Total de docentes em Modalidade Normal/Magistério 2ª Série;Total de docentes em Modalidade Normal/Magistério 3ª Série;Total de docentes em Modalidade Normal/Magistério 4ª Série;Total de docentes em Concomitante;Total de docentes em Subsequente;Total de docentes em Ensino Fundamental - Projovem Urbano;Total de docentes em Nível Médio;Total de docentes em Curso FIC Concomitante;Total de docentes em Ensino Fundamental - Anos Iniciais;Total de docentes em Ensino Fundamental - Anos Finais;Total de docentes em Ensino Médio;Total de docentes em Nível Fundamental (EJA integrada à Educação Profissional de Nível Fundamental);Total de docentes em Curso Técnico Integrado na Modalidade EJA (EJA integrada à Educação Profissional de Nível Médio);Total de docentes em Nao aplicável para turmas de atendimento educacional especializado (AEE) e atividade complementar;
2613404;São José da Coroa Grande;26;PE;;3,0;14,0;5,0;18;4,0;;22;22;;22;;22;;19;3,0;21;1,0;7,0;15,0;22,0;;;22;22;;5624;221;10,0;31;;;;;;;;;21;21;25;20;22,0;59;57;50;53;41,0;37,0;37,0;;;;;;;;;;;;;;;;;8,0;18,0;21,0;;;;4,0
2701704;Capela;27;AL;;2,0;19,0;1,0;18;4,0;;22;22;;22;;22;;16;6,0;19;3,0;5,0;17,0;22,0;;;22;22;;6414;238;21,0;29;;;;;;;;;16;18;19;15;14,0;47;51;52;51;27,0;27,0;24,0;;;;;;;;;;;;;;;;;35,0;22,0;12,0;;;;3,9000000000000004
2500106;Água Branca;25;PB;;1,0;21,0;;9;13,0;;22;22;;22;;22;;22;;20;2,0;19,0;3,0;22,0;;;22;22;;3180;133;6,0;9;;;;;;;;;4;4;4;5;5,0;30;30;27;28;28,0;26,0;22,0;;;;;;;;;;;;;;;;;7,0;4,0;11,0;;;;5,1
2706422;Pariconha;27;AL;;3,0;19,0;;21;1,0;1,0;21;22;;22;;22;;21;1,0;21;1,0;9,0;13,0;22,0;;;22;22;;4241;126;5,0;28;;;;;;;;;7;6;5;5;7,0;34;36;37;31;27,0;26,0;25,0;;;;;;;;;;;;;;;;;8,0;8,0;12,0;;;;4,6
2311355;Quixelô;23;CE;;1,0;20,0;1,0;9;13,0;;22;22;;22;;22;;19;3,0;8;14,0;3,0;19,0;22,0;;;22;22;;4528;198;15,0;20;;;;;;;;;20;19;18;17;25,0;48;55;50;42;22,0;22,0;20,0;;;;;;;;;;;;;;;;;15,0;7,0;11,0;;;;4,4
2311504;Quixeré;23;CE;;2,0;16,0;4,0;10;12,0;;22;22;;22;;22;;22;;14;8,0;;22,0;22,0;;;22;22;;5833;228;31,0;36;;;;;;;;;28;33;32;34;39,0;53;51;44;37;37,0;40,0;37,0;;;;;;;;;;;;;;;;;;4,0;5,0;;;;4,8
2805505;Poço Verde;28;SE;;5,0;14,0;3,0;17;5,0;;22;22;;22;;22;;21;1,0;19;3,0;3,0;19,0;22,0;;;22;22;;5823;232;15,0;27;;;;;;;;;17;19;22;20;23,0;76;78;81;76;26,0;20,0;19,0;;;;;;;;;;;;;;;;;1,0;10,0;8,0;;;;4,7
2701506;Campo Grande;27;AL;;;22,0;;18;4,0;;22;22;;22;;22;;20;2,0;18;4,0;;22,0;22,0;;;22;22;;3423;164;;15;;;;;;;;;4;4;7;6;6,0;34;36;32;25;;;;;;;;;;;;;;;;;;;;43,0;8,0;;;;;
2304509;Frecheirinha;23;CE;;1,0;18,0;3,0;9;13,0;;22;22;;22;;22;;22;;19;3,0;5,0;17,0;22,0;;;22;22;;4502;241;36,0;47;;;;;;;;;21;17;17;19;15,0;28;29;26;24;27,0;28,0;23,0;;;;;;;;;;;;;3,0;;;;1,0;11,0;4,0;;;;5,7
2109759;Santa Filomena do Maranhão;21;MA;;1,0;21,0;;20;2,0;;22;22;;22;;22;;22;;22;;10,0;12,0;17,0;5,0;;22;22;;2455;145;5,0;31;;;;;;;;;6;6;8;7;12,0;33;38;32;35;18,0;16,0;15,0;;;;;;;;;;;;;;;;;15,0;8,0;;;;;3,6
2708907;Satuba;27;AL;1,0;1,0;13,0;7,0;14;8,0;1,0;21;22;;22;;22;;22;;20;2,0;7,0;15,0;22,0;;1,0;21;22;;4772;247;13,0;29;;;;;;;;;16;15;17;16;18,0;43;42;38;33;19,0;20,0;19,0;;;31,0;30,0;26,0;;;;;;;;23,0;;;;1,0;9,0;17,0;;;;4,3
2902658;Banzaê;29;BA;;5,0;17,0;;12;10,0;;22;22;;22;;22;;20;2,0;15;7,0;8,0;14,0;22,0;;;22;22;;4548;299;45,0;50;;;;;;;;;22;25;25;21;19,0;64;68;68;66;55,0;58,0;59,0;;;10,0;;;;;;;;;;1,0;;;;12,0;37,0;39,0;;;;3,2
2603801;Capoeiras;26;PE;;1,0;20,0;1,0;18;4,0;;22;22;;22;;22;;21;1,0;22;;17,0;5,0;22,0;;;22;22;;4158;189;13,0;21;;;;;;;;;10;10;13;13;13,0;32;42;33;27;18,0;17,0;23,0;;;;;;;;;;;;;;;;;1,0;16,0;19,0;;;;4,4
2806305;Santa Luzia do Itanhy;28;SE;;1,0;21,0;;5;17,0;;22;22;;22;;22;;21;1,0;18;4,0;4,0;18,0;22,0;;;22;22;;4115;241;30,0;27;;;;;;;;;7;8;15;14;16,0;69;62;62;60;15,0;16,0;15,0;;;;;;;;;;;;;;;;;5,0;29,0;;;;;3,7
2300903;Apuiarés;23;CE;;1,0;19,0;2,0;9;13,0;1,0;21;22;;22;;22;;19;3,0;20;2,0;1,0;21,0;22,0;;;22;22;;3138;164;23,0;25;;;;;;;;;15;16;26;21;23,0;38;39;39;37;22,0;22,0;20,0;;;;;;;;;;;;;;;;;;8,0;9,0;;;;4,7
2509909;Natuba;25;PB;;2,0;20,0;;5;17,0;;22;22;;22;;22;;22;;13;9,0;16,0;6,0;22,0;;1,0;21;21;1,0;2564;153;14,0;12;;;;;;;;;5;7;7;5;6,0;29;31;27;29;14,0;11,0;12,0;;;;;;;;;;;;;;;;;25,0;19,0;11,0;;;;4,1
2608503;Lagoa do Itaenga;26;PE;;1,0;15,0;6,0;8;14,0;;22;22;;22;;22;;22;;21;1,0;12,0;10,0;22,0;;;22;22;;5622;263;20,0;34;;;;;;;;;17;16;25;25;25,0;50;55;51;54;25,0;22,0;20,0;;6,0;;;;;;;;;;;;;;;2,0;15,0;;;;;
2922755;Nova Ibiá;29;BA;;1,0;20,0;1,0;7;15,0;1,0;21;22;;22;;22;;21;1,0;18;4,0;16,0;6,0;22,0;;;22;22;;2442;114;13,0;9;;;;;;;;;8;6;8;11;13,0;15;16;14;13;10,0;10,0;10,0;;;10,0;;;;;;;;;;2,0;;;;22,0;11,0;9,0;;;;
2800670;Boquim;28;SE;;3,0;16,0;3,0;10;12,0;;22;22;;22;;22;;21;1,0;20;2,0;4,0;18,0;22,0;;;22;22;;6403;289;19,0;34;;;;;;;;;20;19;19;25;26,0;65;80;76;67;51,0;47,0;46,0;;;;15,0;13,0;;;;;;;;5,0;;;;3,0;18,0;11,0;;;;4,1
2405603;Jardim de Piranhas;24;RN;;2,0;18,0;2,0;19;3,0;;22;22;;22;;22;;22;;20;2,0;12,0;10,0;22,0;;;22;22;;3430;129;11,0;19;;;;;;;;;10;12;10;12;12,0;26;25;26;19;19,0;23,0;20,0;;;;;;;;;;;;;;;;;1,0;8,0;8,0;;;;
2901155;América Dourada;29;BA;;1,0;21,0;;12;10,0;;22;22;;22;;22;;22;;18;4,0;2,0;20,0;22,0;;;22;22;;5014;161;26,0;17;;;;;;;;;8;9;9;9;8,0;43;42;37;38;14,0;17,0;13,0;;;;;;;;;;;;;;;;;9,0;7,0;7,0;;;;4,4
2926657;Ribeirão do Largo;29;BA;;1,0;21,0;;10;12,0;;22;22;;22;;22;;20;2,0;20;2,0;14,0;8,0;19,0;3,0;;22;22;;3071;163;15,0;12;;;;;;;;;6;7;8;9;8,0;51;53;48;48;13,0;12,0;13,0;;;;;;;;;;;;;1,0;;;;7,0;9,0;9,0;;;;
2503001;Caaporã;25;PB;;2,0;18,0;2,0;12;10,0;;22;22;;22;;22;;22;;19;3,0;7,0;15,0;21,0;1,0;;22;22;;6284;267;22,0;33;;;;;;;;;24;22;22;19;19,0;67;69;66;58;20,0;43,0;41,0;;;16,0;;;;;;;;;;;;;;2,0;14,0;8,0;;;;3,7999999999999994
2313559;Tururu;23;CE;;1,0;21,0;;7;15,0;;22;22;;22;;22;;20;2,0;21;1,0;5,0;17,0;22,0;;;22;22;;4483;261;29,0;40;;;;;;;;;24;26;27;24;28,0;35;39;39;35;23,0;24,0;21,0;;;;;;;;;;;;;;;;;;;;;;;4,8
2701308;Cajueiro;27;AL;;1,0;20,0;1,0;15;7,0;1,0;21;22;;22;;22;;22;;19;3,0;1,0;21,0;22,0;;;22;22;;5739;215;34,0;24;;;;;;;;;12;13;17;19;19,0;36;41;34;28;33,0;34,0;23,0;;;;;;;;;;;;;;;;;8,0;13,0;12,0;;;;3,8000000000000003
2800506;Areia Branca;28;SE;;2,0;18,0;2,0;8;14,0;;22;22;;21;1,0;22;;21;1,0;21;1,0;7,0;15,0;22,0;;;22;22;;4984;189;6,0;19;;;;;;;;;16;11;17;20;18,0;64;63;64;61;22,0;16,0;18,0;;;;;;;;;;;;;;;;;1,0;7,0;10,0;;;;3,5
2915205;Itagibá;29;BA;;1,0;19,0;2,0;19;3,0;1,0;21;22;;22;;22;;22;;19;3,0;6,0;16,0;20,0;2,0;;22;22;;3911;150;6,0;19;;;;;;;;;9;9;11;12;9,0;43;47;43;42;21,0;19,0;20,0;;;;;;;;;;;;;;;;;9,0;19,0;13,0;;;;3,5
2205409;Joaquim Pires;22;PI;;2,0;19,0;1,0;7;15,0;1,0;21;22;;22;;21;1,0;22;;22;;3,0;19,0;22,0;;;22;22;;4471;170;;20;;;;;;;;;14;16;21;16;19,0;36;41;43;37;37,0;34,0;27,0;;;;;;;;;;;;;;;;;12,0;29,0;15,0;;;;4,5
2507705;Juazeirinho;25;PB;;2,0;17,0;3,0;19;3,0;1,0;21;22;;22;;22;;22;;20;2,0;12,0;10,0;22,0;;;22;22;;4574;230;8,0;37;;;;;;;;;19;23;27;29;25,0;35;31;41;38;15,0;13,0;31,0;;;21,0;24,0;;;;;;;;;;;;;3,0;10,0;10,0;;;;3,5
2310852;Pindoretama;23;CE;;1,0;19,0;2,0;11;11,0;;22;22;;22;;22;;21;1,0;22;;16,0;6,0;22,0;;;22;22;;8196;237;33,0;38;;;;;;;;;24;24;26;23;23,0;52;54;53;49;20,0;25,0;25,0;;;;;;;;;;;;;;;;;2,0;22,0;12,0;;;;4,9
2111904;Sucupira do Norte;21;MA;;2,0;18,0;2,0;11;11,0;;22;22;;22;;22;;21;1,0;22;;4,0;18,0;19,0;3,0;;22;22;;3490;164;20,0;16;;;;;;;;;9;9;12;8;7,0;44;46;45;38;27,0;30,0;29,0;;;;;;;;;;;;;;;;;;3,0;11,0;;;;3,6999999999999997
2612901;São Benedito do Sul;26;PE;;1,0;20,0;2,0;19;4,0;;23;23;;23;;23;;23;;23;;12,0;11,0;23,0;;;23;23;;3060;143;16,0;16;;;;;;;;;14;14;17;16;17,0;36;32;29;29;10,0;9,0;8,0;;;;;;;;;;;;;;;;;5,0;11,0;7,0;;;;3,8
2802403;Gararu;28;SE;;3,0;19,0;1,0;21;2,0;;23;23;;23;;23;;23;;22;1,0;3,0;20,0;23,0;;;23;23;;2650;167;;22;;;;;;;;;10;9;14;13;14,0;53;48;56;53;26,0;28,0;26,0;;;;;;;;;;;;;;;;;4,0;9,0;;;;;4,0
2931053;Tanque Novo;29;BA;;1,0;20,0;2,0;17;6,0;;23;23;;23;;22;1,0;23;;21;2,0;10,0;13,0;23,0;;;23;23;;4272;207;12,0;23;;;;;;;;;12;10;10;20;23,0;44;45;48;32;18,0;19,0;16,0;;;;;;;;;;;;;;;;;1,0;14,0;10,0;;;;4,1
2702009;Coité do Nóia;27;AL;;1,0;22,0;;17;6,0;;23;23;;23;;23;;23;;21;2,0;16,0;7,0;23,0;;;23;23;;2977;133;10,0;20;;;;;;;;;7;7;7;4;10,0;25;20;16;13;19,0;18,0;17,0;;;;;;;;;;;;;;;;;4,0;14,0;;;;;
