"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Valor da produção (Mil Reais)"
"Brasil e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil e Município";"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022"
"Brasil e Município";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Emas (PB)";"...";"-";"-";"-";"48";"34";"-";"-";"-";"-";"-";"...";"-";"-";"-";"605";"-";"-";"-";"-";"-";"-";"38";"78";"-";"432";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"48";"18";"-";"-";"-";"-";"-";"...";"-";"-";"-";"432";"-";"-";"-";"-";"-";"-";"42";"32";"-";"475";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"8";"-";"-";"21";"-";"-";"-";"-";"-";"...";"-";"-";"-";"540";"-";"-";"-";"-";"-";"-";"50";"51";"-";"418";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Esperança (PB)";"...";"-";"-";"-";"360";"484";"34";"-";"-";"-";"-";"...";"-";"-";"788";"2457";"-";"-";"-";"-";"-";"234";"22";"-";"-";"486";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"240";"69";"-";"-";"-";"-";"-";"...";"-";"-";"163";"807";"-";"-";"-";"-";"-";"98";"18";"-";"-";"151";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"270";"578";"-";"-";"-";"-";"-";"...";"-";"-";"1063";"4068";"-";"-";"-";"-";"-";"204";"-";"-";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Fagundes (PB)";"...";"-";"-";"-";"210";"101";"-";"-";"-";"-";"-";"...";"18";"-";"616";"911";"-";"-";"-";"-";"-";"270";"89";"-";"-";"240";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"195";"70";"-";"-";"-";"-";"-";"...";"13";"-";"114";"143";"-";"-";"-";"-";"-";"161";"66";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"240";"86";"-";"-";"-";"-";"-";"...";"11";"-";"663";"542";"-";"-";"-";"-";"-";"144";"81";"-";"-";"675";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Frei Martinho (PB)";"...";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"...";"-";"-";"-";"618";"-";"-";"-";"-";"-";"-";"30";"-";"-";"142";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-";"29";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"53";"30";"-";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gado Bravo (PB)";"...";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"87";"215";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"7";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"17";"286";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guarabira (PB)";"...";"-";"-";"-";"385";"352";"-";"-";"-";"-";"-";"...";"31";"-";"160";"396";"-";"-";"-";"-";"-";"990";"64";"-";"-";"72";"-";"30";"-";"-";"-";"-";"-";"-";"45";"-";"...";"-";"-";"-";"525";"416";"-";"-";"-";"-";"-";"...";"34";"-";"195";"599";"-";"-";"-";"-";"-";"1053";"80";"-";"-";"134";"-";"48";"-";"-";"-";"-";"-";"-";"54";"-";"...";"-";"-";"-";"840";"420";"-";"-";"-";"-";"-";"...";"30";"-";"218";"338";"-";"-";"-";"-";"-";"1332";"96";"-";"-";"215";"-";"42";"-";"-";"-";"-";"-";"-";"72";"-"
"Gurinhém (PB)";"...";"-";"36";"-";"-";"288";"-";"-";"-";"-";"-";"...";"60";"-";"174";"1227";"-";"-";"-";"-";"-";"720";"62";"-";"-";"1080";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-";"...";"35";"-";"56";"120";"-";"-";"-";"-";"-";"608";"66";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"27";"-";"-";"160";"-";"-";"-";"-";"-";"...";"32";"-";"112";"388";"-";"-";"-";"-";"-";"918";"82";"-";"-";"833";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gurjão (PB)";"...";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"...";"-";"-";"-";"127";"-";"-";"-";"-";"-";"-";"5";"-";"-";"68";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"5";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"...";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"9";"-";"-";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ibiara (PB)";"...";"-";"-";"-";"53";"1080";"-";"-";"-";"-";"-";"...";"-";"-";"-";"594";"-";"-";"-";"-";"-";"-";"-";"-";"-";"675";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"58";"1200";"-";"-";"-";"-";"-";"...";"-";"-";"-";"684";"-";"-";"-";"-";"-";"-";"-";"-";"-";"792";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"72";"1512";"-";"-";"-";"-";"-";"...";"-";"-";"-";"640";"-";"-";"-";"-";"-";"-";"-";"-";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Imaculada (PB)";"...";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"...";"22";"-";"84";"1459";"-";"-";"-";"-";"-";"36";"6";"-";"-";"1080";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"73";"-";"-";"-";"-";"-";"...";"15";"-";"104";"1326";"-";"-";"-";"-";"-";"36";"7";"-";"-";"1320";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"84";"-";"-";"-";"-";"-";"...";"18";"-";"88";"1555";"-";"-";"-";"-";"-";"34";"7";"-";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ingá (PB)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"303";"199";"-";"-";"-";"-";"-";"48";"35";"-";"-";"148";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"77";"183";"-";"-";"-";"-";"-";"96";"49";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"260";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"900";"456";"-";"-";"-";"-";"-";"88";"42";"-";"-";"910";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itabaiana (PB)";"...";"-";"37";"1175";"106";"252";"-";"-";"-";"-";"-";"...";"6";"-";"209";"1075";"-";"-";"-";"-";"-";"1056";"70";"-";"-";"765";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"21";"500";"81";"315";"-";"-";"-";"-";"-";"...";"6";"-";"116";"253";"-";"-";"-";"-";"-";"630";"60";"-";"-";"1008";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"20";"1248";"160";"300";"-";"-";"-";"-";"-";"...";"12";"-";"126";"269";"-";"-";"-";"-";"-";"884";"90";"-";"-";"918";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaporanga (PB)";"...";"-";"25";"-";"119";"201";"-";"-";"-";"-";"-";"...";"-";"-";"24";"842";"-";"-";"-";"-";"-";"-";"50";"-";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"28";"-";"130";"240";"-";"-";"-";"-";"-";"...";"-";"-";"26";"324";"-";"-";"-";"-";"-";"-";"50";"-";"-";"363";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"11";"-";"168";"300";"-";"-";"-";"-";"-";"...";"-";"-";"15";"426";"-";"-";"-";"-";"-";"-";"105";"-";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itatuba (PB)";"...";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"...";"-";"-";"110";"286";"-";"-";"-";"-";"-";"64";"11";"-";"-";"461";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"42";"-";"-";"-";"-";"-";"...";"-";"-";"35";"393";"-";"-";"-";"-";"-";"45";"14";"-";"-";"312";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"...";"-";"-";"160";"316";"-";"-";"-";"-";"-";"43";"27";"-";"-";"4200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jericó (PB)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"245";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"306";"-";"-";"-";"-";"-";"-";"-";"-";"-";"417";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juarez Távora (PB)";"...";"-";"66";"-";"-";"46";"-";"-";"-";"-";"-";"...";"-";"-";"495";"260";"-";"-";"-";"-";"-";"34";"-";"-";"-";"924";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"30";"-";"-";"24";"-";"-";"-";"-";"-";"...";"-";"-";"35";"136";"-";"-";"-";"-";"-";"29";"-";"-";"-";"647";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"35";"-";"-";"20";"-";"-";"-";"-";"-";"...";"-";"-";"45";"145";"-";"-";"-";"-";"-";"25";"-";"-";"-";"450";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juazeirinho (PB)";"...";"-";"-";"-";"-";"101";"-";"-";"-";"-";"-";"...";"13";"-";"66";"1068";"-";"-";"-";"-";"-";"16";"-";"-";"-";"851";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"84";"-";"-";"-";"-";"-";"...";"14";"-";"20";"207";"-";"-";"-";"-";"-";"20";"-";"-";"-";"126";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"146";"-";"-";"-";"-";"-";"...";"19";"-";"55";"1260";"-";"-";"-";"-";"-";"29";"-";"-";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Junco do Seridó (PB)";"...";"-";"-";"-";"-";"84";"-";"-";"-";"-";"-";"...";"103";"-";"26";"480";"-";"-";"-";"-";"-";"104";"35";"-";"-";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"91";"-";"-";"-";"-";"-";"...";"82";"-";"27";"850";"-";"-";"-";"-";"-";"112";"39";"-";"-";"303";"-";"-";"-";"-";"225";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"...";"65";"-";"24";"432";"-";"-";"-";"-";"-";"109";"53";"-";"-";"144";"-";"-";"-";"-";"480";"-";"-";"-";"-";"-"
"Juru (PB)";"...";"-";"45";"-";"40";"420";"-";"-";"-";"-";"-";"...";"9";"-";"24";"1300";"-";"-";"-";"-";"-";"354";"16";"-";"-";"1350";"-";"-";"-";"-";"396";"-";"-";"-";"-";"-";"...";"-";"-";"-";"41";"504";"-";"-";"-";"-";"-";"...";"8";"-";"33";"400";"-";"-";"-";"-";"-";"361";"16";"-";"-";"440";"-";"-";"-";"-";"750";"-";"-";"-";"-";"-";"...";"-";"3";"-";"50";"540";"-";"-";"-";"-";"-";"...";"11";"-";"45";"549";"-";"-";"-";"-";"-";"405";"19";"-";"-";"714";"-";"-";"-";"-";"900";"-";"-";"-";"-";"-"
"Lagoa (PB)";"...";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"...";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"6";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"38";"-";"-";"-";"-";"-";"...";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"7";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"38";"-";"-";"-";"-";"-";"...";"-";"-";"-";"85";"-";"-";"-";"-";"-";"-";"7";"-";"-";"83";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de Dentro (PB)";"...";"-";"-";"-";"-";"176";"-";"-";"-";"-";"-";"...";"36";"-";"125";"230";"-";"-";"-";"-";"-";"396";"95";"-";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"...";"-";"-";"-";"-";"208";"-";"-";"-";"-";"-";"...";"38";"-";"117";"177";"-";"-";"-";"-";"-";"439";"96";"-";"-";"58";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"...";"-";"-";"-";"-";"320";"-";"-";"-";"-";"-";"...";"42";"-";"168";"137";"-";"-";"-";"-";"-";"504";"80";"-";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-"
"Lagoa Seca (PB)";"...";"-";"-";"-";"2400";"1980";"-";"-";"-";"-";"-";"...";"34";"-";"84";"1219";"-";"-";"-";"-";"-";"2666";"320";"-";"-";"78";"-";"-";"-";"-";"101";"-";"-";"-";"-";"-";"...";"-";"-";"-";"3150";"960";"-";"-";"-";"-";"-";"...";"24";"-";"-";"239";"-";"-";"-";"-";"-";"2882";"384";"-";"-";"35";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5280";"3780";"-";"-";"-";"-";"-";"...";"30";"-";"40";"1042";"-";"-";"-";"-";"-";"2565";"315";"-";"-";"90";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-"
"Lastro (PB)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"211";"-";"-";"-";"-";"-";"-";"-";"-";"-";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"288";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"234";"-";"-";"-";"-";"-";"-";"-";"-";"-";"117";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Livramento (PB)";"...";"-";"110";"-";"-";"67";"-";"-";"-";"-";"-";"...";"5";"-";"84";"624";"-";"-";"-";"-";"-";"-";"14";"-";"-";"504";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"22";"-";"-";"67";"-";"-";"-";"-";"-";"...";"3";"-";"78";"736";"-";"-";"-";"-";"-";"-";"21";"162";"-";"450";"-";"-";"-";"-";"263";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"105";"-";"-";"-";"-";"-";"...";"3";"-";"8";"962";"-";"-";"-";"-";"-";"-";"42";"113";"-";"480";"-";"-";"-";"-";"270";"-";"-";"-";"-";"-"
"Logradouro (PB)";"...";"-";"7";"-";"-";"176";"-";"-";"-";"-";"-";"...";"3";"-";"77";"133";"-";"-";"-";"-";"-";"216";"36";"-";"-";"94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"10";"-";"-";"137";"-";"-";"-";"-";"-";"...";"3";"-";"44";"37";"-";"-";"-";"-";"-";"205";"36";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"15";"-";"-";"214";"-";"-";"-";"-";"-";"...";"4";"-";"101";"159";"-";"-";"-";"-";"-";"315";"72";"-";"-";"107";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mãe d'Água (PB)";"...";"-";"2";"-";"-";"84";"-";"-";"-";"-";"-";"...";"14";"-";"264";"225";"-";"-";"-";"-";"-";"23";"24";"-";"-";"203";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"3";"-";"-";"91";"-";"-";"-";"-";"-";"...";"15";"-";"260";"240";"-";"-";"-";"-";"-";"23";"25";"-";"-";"225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"...";"18";"-";"184";"540";"-";"-";"-";"-";"-";"43";"42";"-";"-";"312";"-";"-";"-";"-";"108";"-";"-";"-";"-";"-"
"Malta (PB)";"...";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"...";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"58";"-";"-";"-";"-";"-";"...";"-";"-";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"...";"-";"-";"-";"115";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manaíra (PB)";"...";"-";"3";"-";"64";"48";"-";"-";"-";"-";"-";"...";"9";"-";"198";"1620";"-";"-";"-";"-";"-";"101";"39";"-";"-";"1296";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"...";"-";"-";"-";"77";"42";"-";"-";"-";"-";"-";"...";"10";"-";"156";"460";"-";"-";"-";"-";"-";"108";"42";"-";"-";"468";"-";"-";"-";"-";"188";"-";"-";"-";"-";"-";"...";"-";"-";"-";"101";"46";"-";"-";"-";"-";"-";"...";"11";"-";"140";"1614";"-";"-";"-";"-";"-";"115";"50";"-";"-";"1440";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-"
"Mari (PB)";"...";"-";"-";"-";"198";"1098";"-";"-";"-";"-";"-";"...";"9";"-";"28";"21";"-";"-";"-";"-";"-";"5850";"70";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"...";"-";"-";"-";"113";"936";"-";"-";"-";"-";"-";"...";"10";"-";"7";"27";"-";"-";"-";"-";"-";"7322";"84";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"...";"-";"-";"-";"91";"1840";"-";"-";"-";"-";"-";"...";"11";"-";"24";"47";"-";"-";"-";"-";"-";"13040";"84";"-";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-"
"Marizópolis (PB)";"...";"-";"1100";"-";"193";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"99";"-";"-";"-";"-";"-";"-";"-";"-";"-";"174";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"394";"-";"338";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"137";"-";"-";"-";"-";"-";"-";"-";"-";"-";"238";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"396";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"115";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Massaranduba (PB)";"...";"-";"-";"-";"330";"816";"-";"-";"-";"-";"-";"...";"53";"-";"690";"956";"-";"-";"-";"-";"-";"527";"28";"-";"-";"340";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"...";"-";"-";"-";"221";"588";"-";"-";"-";"-";"-";"...";"30";"-";"315";"273";"-";"-";"-";"-";"-";"270";"30";"-";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"...";"-";"-";"-";"540";"1280";"-";"-";"-";"-";"-";"...";"50";"-";"2125";"1980";"-";"-";"-";"-";"-";"980";"48";"-";"-";"1190";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-"
"Matinhas (PB)";"...";"-";"-";"-";"2091";"477";"-";"-";"-";"-";"-";"...";"30";"-";"150";"772";"-";"-";"-";"-";"-";"527";"32";"-";"-";"102";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2496";"405";"-";"-";"-";"-";"-";"...";"15";"-";"116";"379";"-";"-";"-";"-";"-";"512";"24";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2430";"504";"-";"-";"-";"-";"-";"...";"37";"-";"256";"1356";"-";"-";"-";"-";"-";"810";"39";"-";"-";"450";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mato Grosso (PB)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"237";"-";"-";"-";"-";"-";"-";"14";"-";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"270";"-";"-";"-";"-";"-";"-";"13";"-";"-";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"375";"-";"-";"-";"-";"-";"-";"14";"-";"-";"144";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Maturéia (PB)";"...";"-";"2";"-";"-";"92";"-";"-";"-";"-";"-";"...";"54";"-";"270";"423";"-";"-";"-";"-";"-";"68";"-";"-";"-";"339";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"101";"-";"-";"-";"-";"-";"...";"57";"-";"91";"240";"-";"-";"-";"-";"-";"75";"-";"-";"-";"216";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"126";"-";"-";"-";"-";"-";"...";"77";"-";"368";"1337";"-";"-";"-";"-";"-";"64";"-";"-";"-";"936";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mogeiro (PB)";"...";"-";"-";"1200";"110";"208";"-";"-";"-";"-";"-";"...";"12";"-";"660";"1581";"-";"-";"-";"-";"-";"2016";"66";"-";"-";"1200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"320";"81";"109";"-";"-";"-";"-";"-";"...";"7";"-";"1008";"755";"-";"-";"-";"-";"-";"945";"58";"-";"-";"390";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"3255";"64";"180";"-";"-";"-";"-";"-";"...";"8";"-";"1600";"2535";"-";"-";"-";"-";"-";"1360";"53";"-";"-";"3300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Montadas (PB)";"...";"-";"13";"-";"-";"768";"154";"-";"-";"-";"-";"...";"10";"-";"-";"1310";"-";"-";"-";"-";"-";"243";"-";"-";"-";"225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"450";"-";"-";"-";"-";"-";"...";"4";"-";"-";"408";"-";"-";"-";"-";"-";"2450";"-";"-";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"832";"-";"-";"-";"-";"-";"...";"4";"-";"-";"1661";"-";"-";"-";"-";"-";"318";"-";"-";"-";"900";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Horebe (PB)";"...";"-";"-";"12";"22";"-";"-";"-";"-";"-";"-";"...";"-";"-";"105";"246";"-";"-";"-";"-";"-";"-";"-";"-";"-";"198";"-";"-";"-";"-";"336";"-";"-";"-";"-";"-";"...";"-";"-";"14";"27";"-";"-";"-";"-";"-";"-";"...";"-";"-";"130";"413";"-";"-";"-";"-";"-";"-";"-";"-";"-";"293";"-";"-";"-";"-";"432";"-";"-";"-";"-";"-";"...";"-";"-";"20";"33";"160";"-";"-";"-";"-";"-";"...";"-";"-";"70";"560";"-";"-";"-";"-";"-";"-";"-";"-";"-";"314";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-"
