Código,Município,UF,Arroz Inundado,Café,Cana-de-Açúcar Irrigada,"Outras Culturas em Pivôs Centrais (exceto arroz, café e cana)","Pivôs Centrais - Total (considerando sobreposição com arroz, café e cana)",Outras culturas e sistemas,Área Total Irrigada,Cana-de-Açúcar Fertirrigada,Área Total (Irrigada e Fertirrigada),Grupo Predominante no Município,Sistema Predominante no Município,AAI com água superficial em agricultura de sequeiro,AAI com água superficial em pastagem,AAI com água subterrânea,AAI - Potencial Total,AAI - Potencial Efetivo
1400175,Cantá,RR,1,0,0,56,56,688,746,0,746,Outras culturas e sistemas,Localizada,143,"26,801",257,"27,202",0
1400209,Caracaraí,RR,3,0,0,0,0,395,398,0,398,Outras culturas e sistemas,Outros ou sem predominância,0,"35,406",0,"35,406",0
1400233,Caroebe,RR,2,0,0,0,0,9,11,0,11,Outras culturas e sistemas,Outros ou sem predominância,0,"12,972",0,"12,972",0
1400282,Iracema,RR,0,0,0,0,0,104,104,0,104,Outras culturas e sistemas,Outros ou sem predominância,9,"14,891",50,"14,950",0
1400308,Mucajaí,RR,23,0,0,0,0,221,244,0,244,Outras culturas e sistemas,Localizada,312,"40,034",440,"40,785",0
1400407,Normandia,RR,113,0,0,0,0,"1,590","1,703",0,"1,703",Outras culturas e sistemas,Superficial,319,271,52,642,0
1400456,Pacaraima,RR,"8,858",0,0,0,0,28,"8,886",0,"8,886",Arroz,Superficial,0,219,0,219,0
1400472,Rorainópolis,RR,22,0,0,0,0,608,630,0,630,Outras culturas e sistemas,Aspersão - Outros,0,"16,200",0,"16,200",0
1400506,São João da Baliza,RR,0,0,0,0,0,18,18,0,18,Outras culturas e sistemas,Outros ou sem predominância,0,"4,651",0,"4,651",0
1400605,São Luiz,RR,0,0,0,0,0,3,3,0,3,Outras culturas e sistemas,Outros ou sem predominância,0,"5,587",0,"5,587",0
1400704,Uiramutã,RR,0,0,0,0,0,16,16,0,16,Outras culturas e sistemas,Outros ou sem predominância,9,95,0,105,0
1500107,Abaetetuba,PA,0,0,0,0,0,114,114,0,114,Outras culturas e sistemas,Outros ou sem predominância,174,"6,219",472,"6,865",167
1500131,Abel Figueiredo,PA,0,0,0,0,0,0,0,0,0,,,438,"2,414",341,"3,194",1
1500206,Acará,PA,0,0,0,0,0,329,329,0,329,Outras culturas e sistemas,Outros ou sem predominância,"7,298","36,121","3,046","46,465",537
1500305,Afuá,PA,0,0,0,0,0,0,0,0,0,,,13,"1,740",0,"1,752",0
1500347,Água Azul do Norte,PA,0,0,0,0,0,16,16,0,16,Outras culturas e sistemas,Outros ou sem predominância,"1,012","16,140","1,177","18,329",170
1500404,Alenquer,PA,0,0,0,0,0,835,835,0,835,Outras culturas e sistemas,Outros ou sem predominância,647,"18,643","3,424","22,714",0
1500503,Almeirim,PA,0,0,0,0,0,30,30,0,30,Outras culturas e sistemas,Outros ou sem predominância,52,"38,147",789,"38,988",0
1500602,Altamira,PA,0,0,0,0,0,196,196,0,196,Outras culturas e sistemas,Aspersão - Outros,"6,784","113,389","4,806","124,979","1,365"
1500701,Anajás,PA,0,0,0,0,0,0,0,0,0,,,91,"4,070",34,"4,195",0
1500800,Ananindeua,PA,0,0,0,0,0,0,0,0,0,,,0,266,0,266,0
1500859,Anapu,PA,0,0,0,0,0,253,253,0,253,Outras culturas e sistemas,Localizada,0,"53,132",0,"53,132",0
