Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2408300,nova-cruzense,FLAVIO C&Eacute;SAR NOGUEIRA,277.658,34269,123.42,98.2,0.629,16.56,66537.44004,56389.88386,14093.49,
2408409,olho-d'&aacute;gua-borgense,MARIA HELENA LEITE DE QUEIROGA,141.17,3907,27.68,98.4,0.585,-,15627.61392,15571.85559,11860.07,
2408508,ouro-branquense,SAMUEL OLIVEIRA DE SOUTO,253.21,4913,19.4,96.9,0.645,-,16577.50632,13465.78753,11326.53,
2408607,paranaense,JOSIENE GOMES DA SILVA ANDRADE,81.39,3934,48.34,98.9,0.589,-,16242.07808,14497.43791,9333.84,
2408706,parauense,MARIA OLIMPIA FERREIRA NUNES EUFRASIO,383.214,3587,9.36,98.4,0.603,-,14817.01597,13224.03673,13588.13,
2408805,parazinhense,CARLOS VERIANO DE LIMA,231.007,4801,20.78,98.7,0.549,10.99,23608.09339,20274.98435,76046.11,
2408904,parelhense,TIAGO DE MEDEIROS ALMEIDA,513.507,21499,41.87,98.3,0.676,10.42,39909.2605,37633.89004,15862.52,
2409100,passa-fiquense,FLAVIANO CORREIA LISBOA,42.137,10896,258.59,97.0,0.606,6.94,29748.49492,26993.79074,10035.56,
2409209,passagense,DIKSON MESGRAEL BEZERRA JUNIOR,41.215,3115,75.58,98.2,0.589,-,13875.96096,12682.96873,11987.24,
2409308,patuense,RIVELINO CAMARA,319.135,11009,34.5,96.8,0.618,8.7,30050.93294,27109.45446,12506.43,
2409332,santa-mariense,RANIERY SOARES CAMARA,219.57,4847,22.07,97.7,0.59,-,0.001,0.001,12028.84,
2409407,pau-ferrense,MARIANNA ALMEIDA NASCIMENTO,259.959,30479,117.25,95.5,0.678,13.89,59848.10733,60559.64779,20462.41,
2409506,pedra-grandense,PEDRO HENRIQUE DE SOUZA SILVA,221.167,3618,16.36,97.1,0.559,-,23781.91021,22217.36944,124924.52,
2409605,pedra-pretense,PAULO HENRIQUE BILINHO FILHO,294.985,2441,8.27,98.5,0.558,-,14169.85643,12078.19898,12742.66,
2409704,pedro-avelinense,JOS&Eacute; ALEXANDRE SOBRINHO,952.755,6242,6.55,98.8,0.583,-,19178.262,17245.35175,10484.77,
2409902,pendenciano,FLAUDIVAN MARTINS CABRAL,419.137,12278,29.29,97.7,0.631,19.48,40711.72683,36830.61953,31153.59,
2410009,pilonense,C&Iacute;CERO SABINO NETO,82.69,2965,35.86,97.9,0.614,27.03,15508.50504,12708.18993,10730.12,
2410108,po&ccedil;o-branquense,EDI CARLOS ALEXANDRE DE SOUZA OLIVEIRA,230.401,12390,53.78,95.0,0.587,19.61,28507.36788,29631.69773,8474.38,
2410207,portalegrense,JOSE AUGUSTO DE FREITAS REGO,110.054,7601,69.07,98.5,0.621,25.64,20800.86847,19115.76775,8926.24,
2410256,porto-manguense,HIPOLITON SAEL HOLANDA MELO,361.237,5228,14.47,97.2,0.59,-,26624.442,28206.94339,18540.3,
2410306,serra caiadense,JO&Atilde;O MARIA ANDRADE FURTADO FILHO,217.539,10125,46.54,95.4,0.563,13.89,25861.328,24412.3784,9555.23,
2410405,purezense,JOAO DA FONSECA MOURA NETO,504.294,9362,18.56,99.1,0.567,24.19,22032.55431,22762.91492,14267.98,
2410504,rafael-fernandense,FRANCISCO BRUNO FERREIRA COSTA,78.231,5432,69.44,96.3,0.608,-,N&atilde;o informado,N&atilde;o informado,10348.29,
2410603,rafael-godeirense,CLEVIL&Acirc;NDIA SAMARA DE VASCONCELOS BELARMINO,100.073,2934,29.32,100.0,0.654,-,15727.18999,14492.60388,12172.81,
2410702,riacho-cruzense,MARCOS AUR&Eacute;LIO DE PAIVA R&Ecirc;GO,127.223,2701,21.23,98.8,0.584,-,14210.76403,13110.18051,9907.86,
2410801,riacho-santanense,DAVI CASSIO FERNANDES DA SILVA,128.106,4127,32.22,99.7,0.591,-,15484.13213,15309.84727,9792.66,
2410900,riachuelense,JO&Atilde;O BAS&Iacute;LIO NETO,262.887,7389,28.11,96.8,0.592,26.67,17606.91593,18921.55079,10901.78,
2411007,rodolfo-fernandense,FRANCISCO WILTON CAVALCANTE MONTEIRO,154.84,4242,27.4,99.0,0.604,37.97,17724.4474,15544.44232,11774.44,
2411056,tibauense,LIDIANE MARQUES DA COSTA,169.365,5382,31.78,97.8,0.635,35.71,26768.46372,27562.65125,26400.72,
2411106,rui-barbosense,FRANCISCO FELIPE DA SILVA,125.809,3206,25.48,98.7,0.605,18.87,14657.76209,12961.56348,11072.45,
2411205,santa-cruzense,IVANILDO FERREIRA LIMA FILHO,624.356,37313,59.76,95.7,0.635,15.21,80717.48198,74276.88449,14595.76,
2411403,santanense,MARIA ALICE SILVA,1422.268,12456,8.76,97.6,0.591,24.79,29416.09076,28283.36512,12174.03,
2411429,santanense,HUDSON PEREIRA DE BRITO,188.403,2696,14.31,99.2,0.642,28.57,13273.92839,10730.663,13002.92,
2411502,santo-antoniense,RAULISON DE SENA RIBEIRO,301.082,22177,73.66,97.9,0.62,10.1,46132.72683,47617.81675,12017.93,
2411601,s&atilde;o-bento-nortense,JO&Atilde;O MARIA MONTENEGRO DA SILVA,288.761,3304,11.44,98.7,0.555,-,21531.03806,19593.25249,153580.64,
2411700,trairiense,JOSE ARACLEIDE DE ARAUJO,190.818,3792,19.87,92.9,0.595,-,14996.93917,13082.05989,9902.4,
2411809,s&atilde;o-fernandense,GENILSON MEDEIROS MAIA,404.427,3492,8.63,96.8,0.608,-,14488.55771,13262.50763,15395.51,
2411908,oestense,LUSIMAR PORFIRIO DA SILVA,75.588,4161,55.05,96.6,0.628,25.97,14569.36324,11347.59612,11906.12,
2412104,sabugiense,ANIBAL PEREIRA DE ARAUJO,277.011,5956,21.5,96.9,0.655,-,15486.40741,15011.71961,12536.16,
2412302,campestrense,JOSEILSON BORGES DA COSTA,341.115,11121,32.6,96.9,0.615,7.81,25869.86539,24795.77157,9028.14,
2412401,s&atilde;o-jos&eacute;-seridoense,JACKSON DANTAS,174.505,4558,26.12,97.1,0.694,51.72,17452.07426,16430.08002,16905.22,
2412500,s&atilde;o-miguelense,C&Eacute;LIO GON&Ccedil;ALVES DE QUEIR&Oacute;Z,166.233,23537,141.59,96.6,0.606,6.83,50189.8718,44926.21728,11681.66,
2412559,gostosense,JOSE RENATO TEIXEIRA DE SOUZA,431.444,10221,23.69,98.7,0.591,34.72,28273.22376,25598.18451,38722.38,
2412609,potengiense,EUG&Ecirc;NIO PACELLI ARA&Uacute;JO SOUTO,240.425,16786,69.82,97.9,0.622,29.85,39691.42031,38977.17554,12432.9,
2412708,s&atilde;o-pedrense,MIGUEL CABRAL NASSER,195.237,5776,29.58,97.7,0.589,21.28,16695.40514,15826.52285,8876.55,
2412807,s&atilde;o-rafaelense,RENO MARINHO DE MAC&Ecirc;DO SOUZA,469.101,7711,16.44,98.2,0.611,13.33,17398.57978,15434.14413,10377.99,
2412906,s&atilde;o-tomeense,ANTEOMAR PEREIRA DA SILVA,862.585,9972,11.56,97.2,0.585,37.74,29112.54254,27544.71041,9578.53,
2413003,s&atilde;o-vicentense,JANE MARIA SOARES DE MEDEIROS,197.817,6310,31.9,92.5,0.642,-,16747.53358,15285.71487,11052.24,
2413102,el&oacute;i-de-souzense,MACIEL GOMES DA SILVA,152.376,5965,39.15,97.7,0.583,-,18624.17417,16948.05279,8821.64,
2413300,serra-bentense,WANESSA GOMES DE MORAIS,96.628,5703,59.02,97.5,0.582,-,15190.82156,14067.96907,8901.43,
2413359,serrano,JOSIVAN BIBIANO DE AZEVEDO,620.241,13091,21.11,97.8,0.614,9.48,39307.62248,35147.09216,50795.43,
2413409,serra-negrense-do-norte,S&Eacute;RGIO FERNANDES DE MEDEIROS,562.396,7597,13.51,95.5,0.597,-,20032.48549,16352.94806,12205.98,
2413508,serrinhense,JOSE ANTONIO DE MEDEIROS CLEMENTE,193.351,6436,33.29,99.0,0.592,-,19494.8782,18586.63773,10795.57,
2413557,serriense dos pintos,BARBARA TEIXEIRA QUEIROZ,122.375,4659,38.07,96.1,0.598,-,15115.67349,13755.23931,9679.8,
2413607,severianense,JACINTO LOPES DE CARVALHO,157.85,5487,34.76,97.1,0.604,-,17338.28477,17218.40582,28288.77,
2413706,s&iacute;tio-novense,ANDREZZA BRASIL SOUTO,213.456,4654,21.8,99.4,0.572,-,15912.908,15332.45699,8705.12,
2413805,taboleirense,MARIA TARCIA RIBEIRO DA SILVA,124.093,2338,18.84,95.8,0.612,-,14249.62078,12494.14212,11619.18,
2413904,taipuense,ARIOSVALDO BANDEIRA JUNIOR,352.818,11422,32.37,95.5,0.569,31.5,27096.594,25243.73427,11078.8,
2414001,tangarense,JOSE AIRTON BEZERRA,339.484,13281,39.12,98.1,0.608,5.05,37998.52161,31725.87276,12235.2,
2414100,tenente-ananiense,LARISSA LISIANE DA CUNHA ROCHA JACOME,223.671,10262,45.88,95.1,0.592,33.56,24250.57428,21851.201,9889.26,
2414159,tenente-laurentinense,FRANCISCO MACEDO DA SILVA,68.556,5891,85.93,98.1,0.623,-,27001.33334,27114.67107,17090.47,
2414308,timbaubense,IVANILDO ARAUJO DE ALBUQUERQUE FILHO,135.456,2348,17.33,99.3,0.64,-,13008.32425,12262.85594,14273.9,
2414407,tourense,PEDRO FERREIRA DE FARIAS FILHO,753.961,33035,43.82,99.2,0.572,11.96,70283.38638,63216.58231,18206.68,
2414456,triunfense potiguar,JOANA DARC ESTEVAM DA FONSECA SILVA,268.725,3358,12.5,97.8,0.602,-,14558.45048,13195.31199,11943.65,
2414506,umarizalense,RAIMUNDO NONATO DIAS PINHEIRO,213.584,10078,47.19,97.3,0.618,-,21498.73059,19586.52545,13423.5,
2414605,upanemense,RENAN MENDON&Ccedil;A FERNANDES,873.14,13572,15.54,98.0,0.596,19.48,38209.32984,39072.49597,12115.6,
2414704,varzeano,PEDRO SALES BELO DA SILVA,72.684,5233,72.0,97.8,0.626,35.09,14557.30594,12895.79925,10076.12,
2414753,venha-verense,CLEITOM JACOME DA COSTA,71.621,3014,42.08,98.8,0.555,19.23,16760.05981,15467.93631,9702.99,
2414803,vera-cruzense,MARCOS  ANTONIO CABRAL,84.127,10676,126.9,97.8,0.587,15.38,27827.09514,25689.04831,9680.28,
2414902,vi&ccedil;osense,VICTOR RAMON ALVES,37.905,1822,48.07,99.2,0.592,-,11796.15366,9132.9602,12321.17,
2800100,amparense,FRANKLIN RAMIRES FREIRE CARDOSO,35.683,2170,60.81,97.4,0.611,22.73,14462.32651,12760.85159,14175.42,
2800209,aquidab&atilde;ense,FRANCISCO FRANCIM&Aacute;RIO RODRIGUES DE LUCENA,359.543,20131,55.99,98.6,0.578,8.66,37035.65666,33523.40153,12075.5,
2801108,canhobense,CHRYSTOPHE FERREIRA DIVINO,171.581,3791,22.09,98.1,0.569,-,16150.22102,15075.07765,16226.3,
2801207,canindense,WELDO MARIANO DE SOUZA,934.167,26834,28.73,96.8,0.567,11.79,92450.27565,86227.0147,103993.3,
2801405,carirense,DIOGO MENEZES MACHADO,638.743,19939,31.22,98.2,0.588,18.87,46769.05299,43848.21723,19033.16,
2801603,cedrense,LAYANA SOARES DA COSTA,83.711,5391,64.4,99.1,0.623,46.88,16756.15167,14728.3312,9735.93,
2801900,cumbense,FLORIVALDO JOS&Eacute; VIEIRA,128.393,3824,29.78,99.0,0.604,22.22,15554.69211,14664.50034,14693.15,
2802205,feira-novense,JEAN SIMON SANTOS ARCIERI,183.273,5975,32.6,96.7,0.584,10.31,17388.90304,14072.19012,16749.44,
2802304,frei-paulense,ANDERSON MENEZES,399.178,14530,36.4,96.9,0.589,13.89,35408.01116,30879.61785,20610.43,
2802403,gararuense,GILZETE DIONIZA DE MATOS,656.956,11096,16.89,95.6,0.564,16.67,25651.47349,22226.48858,11788.52,
2802601,gracho-cardosense,JOSE ARAKEM ARAGAO,242.679,5834,24.04,96.0,0.577,15.87,17885.15623,16192.4972,14550.44,
2803104,itabiense,AMYNTHAS BARRETO J&Uacute;NIOR,183.422,4745,25.87,96.2,0.602,35.09,15772.57267,16497.95502,13508.76,
2803708,macambirense,JOSE CARIVALDO DE SOUZA,137.496,6838,49.73,95.6,0.583,11.63,18396.87645,17905.13207,12476.46,
2804201,monte-alegrense,MARINEZ SILVA PEREIRA LINO,386.912,14336,37.05,96.2,0.553,20.16,30437.07621,28494.35891,12568.02,
2804458,aparecidense,JEANE DE JESUS BARRETO,340.772,9232,27.09,96.8,0.577,20.41,21801.73555,20387.32895,12226.17,
2804508,gloriense,LUANA MICHELE DE OLIVEIRA SILVA CACHO,758.429,41202,54.33,98.0,0.587,18.21,52009.12285,70046.31878,18738.23,
2804607,dorense,LUIZ M&Aacute;RIO PEREIRA DE SANTANA,482.412,24996,51.81,98.1,0.6,30.21,61795.21649,56487.26679,14562.21,
2804706,lourdense,LAERTE GOMES DE ANDRADE,83.767,6268,74.83,98.0,0.598,14.93,17430.21835,15861.29863,11765.92,
2805000,pedra-molense,JOSE AUGUSTO DE ANDRADE,82.211,2778,33.79,96.5,0.593,24.39,15375.75081,12759.07039,15801.22,
2805208,pinh&atilde;oense,CHARLES WAGNER NUNES OLIVEIRA,156.373,5677,36.3,97.0,0.583,13.51,18230.50014,17565.17327,13990.06,
2805406,po&ccedil;o-redondense,ADEMILSON CHAGAS JUNIOR,1220.426,33439,27.4,96.8,0.529,18.8,67939.38882,69470.44095,10381.96,
2805505,po&ccedil;o-verdense,EVERALDO IGGOR SANTANA DE OLIVEIRA,441.326,21794,49.38,98.8,0.561,11.41,45026.26568,38209.02827,14157.18,
2805604,porto-folhense,MIGUEL DE LOUREIRO FEITOSA NETO,878.043,26576,30.27,97.1,0.568,15.46,51511.29759,48463.10562,10866.51,
2805703,propriaense,VALBERTO DE OLIVEIRA LIMA,96.32,26618,276.35,99.6,0.661,9.26,57196.95795,51268.32452,17807.65,
2806008,ribeiropolense,ROG&Eacute;RIO SOBRAL COSTA,259.044,17033,65.75,98.5,0.613,15.38,37575.84385,37006.30894,16320.58,
2807006,aleixense,JOSE GILTON DA COSTA MENESES,144.868,3434,23.7,98.1,0.567,18.52,15781.63662,13768.67546,11369.4,
2807105,sim&atilde;o-diense,CRISTIANO VIANA MENESES,560.199,42578,76.01,98.8,0.604,11.48,77386.86,70400.37315,17738.22,
2807303,telhense,FLAVIO FREIRE DIAS,47.86,3274,68.41,99.5,0.604,21.28,15008.42627,13887.97076,12273.06,
2807402,tobiense,ADILSON DE JESUS SANTOS,1024.645,50905,49.68,94.3,0.557,19.09,86102.61843,85724.17174,11576.62,
