Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2612000,saireense,GILDO PONTES DE ARRUDA,190.455,10887,57.16,97.7,0.585,7.58,27782.41166,28166.09398,17245.88,
2612109,salgadinense,JOSE SOARES DA FONSECA,87.217,5727,65.66,87.6,0.534,-,25270.5575,23794.1108,7022.69,
2612208,salgueirense,MARCONES LIB&Oacute;RIO DE S&Aacute;,1678.564,62372,37.16,96.7,0.669,11.67,123973.69438,112548.31356,15834.98,
2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,251.549,13836,55.0,97.4,0.559,10.75,41419.13746,44581.87821,9469.05,
2612406,sanharoense,CESAR AUGUSTO DE FREITAS,268.065,18624,69.48,93.2,0.603,16.95,45919.49208,43659.19379,8097.4,
2612455,santacruzense,ELIANE MARIA DA SILVA SOARES,1245.983,13841,11.11,97.5,0.549,9.39,38314.62005,34281.28358,8418.03,
2612471,santacruzense,JOSE IRLANDO DE SOUZA LIMA,114.932,11567,100.64,97.8,0.612,-,33046.6343,31848.76407,9977.25,
2612505,santa-cruzense,F&Aacute;BIO QUEIROZ ARAG&Atilde;O,335.309,98254,293.03,95.7,0.648,10.98,171093.0329,157045.0838,14102.77,
2612554,filomense,PEDRO GILDEVAN COELHO MELO,1005.341,12106,12.04,97.0,0.533,29.59,38229.65699,31283.89338,7514.7,
2612604,Boavistano,GEORGE RODRIGUES DUARTE,3000.774,40578,13.52,97.4,0.59,12.69,111225.08365,87340.57363,14056.36,
2612703,santa-mariense,NELSON SEBASTIAO DE LIMA,92.148,14013,152.07,96.4,0.548,5.03,30854.90134,30389.53873,8289.81,
