,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,LATITUDE,LONGITUDE,MIN_2019,MIN_2020,MIN_2021,MED_2019,MED_2020,MED_2021,MAX_2019,MAX_2020,MAX_2021
195,"74751000 ou SC79,0",RS,FEPAM,Rio Santo Cristo,-27.840278,-54.555833,66.091226,,,68.983689,,,73.800922,,
196,"74459000 ou TU179,8",RS,FEPAM,Rio Turvo,-27.8217,-53.725,70.541238,,,73.809367,,,79.79804,,
197,"74779000 ou AM19,2",RS,FEPAM,Rio Amandaú,-27.8147,-54.91698,49.115334,,,63.186419,,,69.614937,,
198,74209000,RS,FEPAM,Rio da Varzea,-27.799381,-53.056354,63.505508,,,82.152603,,,92.030282,,
199,SC-7755-I-9,SC,SDE-SC,Rio Cubatão,-27.721606,-48.893652,,50.186322,50.186322,,65.753123,69.225524,,76.714063,76.714063
200,SC7755I12,SC,SDE-SC,Rio Cubatão do Sul,-27.700234,-48.674378,63.020445,,,67.857901,,,70.627891,,
201,SC-7755-I-12,SC,SDE-SC,Rio Cubatão do Sul,-27.700228,-48.674375,,60.118485,58.846397,,64.007963,63.75452,,69.985401,69.985401
202,SC-7754-I-17,SC,SDE-SC,Rio Itajaí do Sul,-27.690829,-49.34512,,44.624312,44.624312,,61.217733,64.30624,,69.246177,69.246177
203,"74699000 ou SR65,4",RS,FEPAM,Rio Santa Rosa,-27.6767,-54.465,70.909631,,,75.375362,,,84.351322,,
204,"74611000 ou BU28,3",RS,FEPAM,Rio Burica,-27.52167,-54.23167,71.445103,,,75.885764,,,82.97607,,
205,"74505000 ou LG37,8",RS,FEPAM,Arroio Lageado Grande,-27.445969,-54.084691,62.190521,,,73.05662,,,78.840175,,
206,SC-7755-I-11,SC,SDE-SC,Rio dos Três Riachos,-27.437877,-48.754725,,64.807482,56.991842,,70.044636,69.155585,,75.321699,75.321699
207,SC-7755-I-6,SC,SDE-SC,Rio Tijucas,-27.4142,-48.9528,69.015021,63.349115,60.270995,71.635425,69.781454,68.620535,75.080932,74.840921,74.840921
208,SC-7754-I-7,SC,SDE-SC,Rio Itajaí do Sul,-27.39591,-49.60382,57.621078,44.745048,44.745048,65.590283,53.081284,54.659031,75.784946,66.652781,70.006526
209,"74480000 ou TU17,2",RS,FEPAM,Rio Turvo,-27.29139,-53.97194,68.869892,,,76.340932,,,83.811972,,
210,74260000,RS,FEPAM,Rio da Varzea,-27.275849,-53.301682,64.531764,,,70.864267,,,80.214703,,
211,SC-7755-I-2,SC,SDE-SC,Rio Tijucas,-27.275,-48.85,62.580226,57.344952,52.260674,67.456511,63.792621,64.055777,73.366012,66.818055,70.272969
212,74280000,RS,FEPAM,Rio da Varzea,-27.223639,-53.325678,61.848769,,,74.627818,,,88.946499,,
213,SC-7754-I-10,SC,SDE-SC,Rio Itajaí do Oeste,-27.113645,-49.995916,,65.168402,57.469644,,67.66932,65.085514,,70.881882,71.909091
214,SC7754I10,SC,SDE-SC,Rio Itajaí do Oeste,-27.113629,-49.995912,55.286835,,,64.942648,,,75.926909,,
215,SC7754I14,SC,SDE-SC,Rio Itajaí do Norte,-27.078164,-49.497474,63.38637,,,67.526546,,,70.458845,,
216,SC-7754-I-14,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,-27.078146,-49.497477,,58.668292,58.668292,,64.112582,64.813347,,69.917568,70.514239
217,SC-7754-I-3,SC,SDE-SC,Rio Itajaí do Oeste,-27.051599,-50.112967,,69.085312,65.461706,,71.899456,70.99904,,75.693405,82.752014
218,SC-7754-I-6,SC,SDE-SC,Rio Itajaí do Norte/Hercílio,-27.048291,-49.586904,,63.91364,49.783061,,67.016089,62.057182,,70.134943,70.134943
219,SC-7754-I-2,SC,SDE-SC,Ribeirão Neisse,-27.037211,-49.387503,,56.748949,56.748949,,67.460682,64.860731,,72.857601,72.857601
220,SC-7754-I-20,SC,SDE-SC,Rio Itajaí Mirim,-27.033171,-48.860991,,40.748951,40.748951,,50.094393,52.41597,,55.599448,61.465054
